Word count limit ratio,Long sentences,Voice,Tense,Spell errors,Grammatical Errors,SS Essay,SS Topic Essay,Vocabulary,Score
0.82,1,0.923076923,0.708333333,0.022222222,0.222222222,0.806540631,0.37569005,0.052,15
0.812,1,1,0.421052632,0.095744681,0.053191489,0.564234462,0.415293368,0.066,13
0.692,1,0.954545455,0.435897436,0.038961039,0.084415584,0,0,0.11,15
0.566,0.384615385,0.96969697,0.410714286,0.00921659,0.02764977,1.122195595,0.916431968,0.15,17
0.698,0.166666667,0.954545455,0.529411765,0.013245033,0.013245033,1.129377843,1.116683186,0.076,13
0.328,0.121212121,1,0.546511628,0.011904762,0.014880952,1.176239254,0.906192517,0.216,23
0.66,0.363636364,1,0.564102564,0.023529412,0.011764706,0.960381196,0.828871642,0.094,16
0.748,0.571428571,0.952380952,0.392857143,0.055555556,0,0.635528617,0.689349151,0.086,18
0.284,1,1,0.428571429,0.022346369,0.108938547,1.178758745,0.923169809,0.174,12
0.824,0,1,0.772727273,0.011363636,0.011363636,1.219354996,1.064348293,0.054,10
0.648,0.333333333,1,0.41509434,0.028409091,0.005681818,1.083368076,0.753645294,0.094,16
0.768,0.111111111,0.875,0.407407407,0.068965517,0.034482759,0.633629575,0.760316653,0.114,19
0.626,0.636363636,1,0.540540541,0.058823529,0.021390374,0.971410288,0.787059528,0.118,17
0.67,0.4,0.954545455,0.638888889,0.03030303,0,1.008124206,0.869904431,0.108,14
0.67,1,1,0.457142857,0.036363636,0.018181818,1.043594192,0.84712963,0.114,12
0.666,0.307692308,1,0.583333333,0.071856287,0.023952096,0.730814299,0.839954718,0.11,16
0.548,0.294117647,1,0.346153846,0.053097345,0.022123894,1.16433119,0.937920503,0.154,17
0.816,0.375,0.916666667,0.5,0.141304348,0.02173913,0.532756233,0.509007937,0.09,16
0.636,0.416666667,0.96875,0.659574468,0.016483516,0.010989011,1.042744447,0.671197494,0.128,21
0.722,0.166666667,1,0.558823529,0.035971223,0.007194245,1.403575099,1.05884033,0.082,14
0.694,0.555555556,1,0.6,0.019607843,0.013071895,1.187418772,0.956785733,0.088,18
0.608,0.25,0.933333333,0.5,0.010204082,0.020408163,1.225031262,1.026935033,0.112,24
0.63,0.545454545,0.958333333,0.542857143,0.027027027,0.027027027,0.974208761,0.853401374,0.128,17
0.624,0.230769231,1,0.6,0.037234043,0.021276596,1.131556363,0.932530842,0.116,16
0.72,0.6,0.88,0.534883721,0.021428571,0.007142857,1.089338325,0.73429915,0.084,16
0.794,0.333333333,1,0.769230769,0.097087379,0.019417476,1.073554832,0.826341178,0.056,9
0.898,0.5,1,0.666666667,0.039215686,0.117647059,0.457175926,0.511526252,0.048,6
0.79,0.5,1,0.619047619,0.057142857,0.028571429,0.971169278,0.736458588,0.068,10
0.462,0.4,0.972972973,0.390625,0.029739777,0.048327138,1.295081139,1.036572871,0.182,17
0.652,0.333333333,0.961538462,0.452380952,0.022988506,0,0.935071831,1.050200357,0.094,16
0.338,0.555555556,0.875,0.53164557,0.033232628,0.021148036,1.488032796,1.223863583,0.182,15
0.776,0.3,1,0.666666667,0.026785714,0.035714286,1.318885893,1.175674979,0.086,11
0.744,0.5,1,0.485714286,0.046875,0.03125,0.47755102,0.391765873,0.106,19
0.238,0.379310345,1,0.549295775,0.049868766,0.047244094,0.937311143,0.943738323,0.274,24
0.686,0.307692308,1,0.485714286,0.050955414,0.031847134,0.756552127,0.789788915,0.124,18
0.598,0.1875,1,0.4,0.014925373,0.014925373,1.136783365,1.119171511,0.12,16
0.662,0.625,0.958333333,0.418604651,0.076923077,0.01183432,0.873330422,0.695710678,0.108,20
0.646,1,0.961538462,0.604651163,0.02259887,0.02259887,1.00191836,0.739082212,0.11,12
0.556,0.357142857,1,0.50877193,0.013513514,0.018018018,0.82821771,0.89688349,0.148,19
0.756,0.272727273,1,0.64516129,0.040983607,0.024590164,1.00947006,0.970575019,0.086,10
0.912,0.2,1,0.3,0.159090909,0,0.49148781,0.58604197,0.038,7
0.78,0.428571429,1,0.6,0.009090909,0,0.732926424,0.834936348,0.096,16
0.63,0.7,1,0.414634146,0.027027027,0.005405405,1.489286015,1.219281507,0.104,12
0.854,1,1,0.421052632,0.082191781,0.054794521,0.541431573,0.479311389,0.052,12
0.568,0.466666667,1,0.41509434,0.069444444,0.018518519,0.865688239,0.852246145,0.144,20
0.556,0.2,0.961538462,0.395348837,0.027027027,0.004504505,0.976579459,0.766934932,0.172,24
0.736,0.75,1,0.517241379,0.015151515,0.007575758,0.668925329,0.805046597,0.068,9
0.868,0.166666667,1,0.588235294,0,0.015151515,1.083825933,0.724513244,0.038,9
0.502,0.173913043,0.977777778,0.434782609,0.036144578,0.036144578,1.425564221,1.170880629,0.18,20
0.61,0.285714286,0.964285714,0.568181818,0.020512821,0.015384615,0.949789713,0.899021525,0.13,16
0.74,0.375,1,0.571428571,0.092307692,0.015384615,1.367785659,0.734960699,0.064,8
0.75,0.571428571,1,0.464285714,0.024,0.024,0.892650232,0.900021499,0.082,15
0.872,0.111111111,1,0.5625,0.03125,0.046875,0.995354822,0.650020892,0.046,20
0.668,0.357142857,0.96,0.575757576,0.006024096,0,0.78390576,0.620349665,0.118,17
0.818,0.333333333,0.9375,0.52173913,0.087912088,0.032967033,0.960789236,0.719730441,0.08,18
0.912,0,1,0.5,0.045454545,0,0.599411791,0.412399545,0.032,13
0.388,0.692307692,1,0.462962963,0.039215686,0.022875817,1.066032989,0.758719899,0.202,12
0.654,0.571428571,1,0.5,0.023121387,0.063583815,0.945272998,0.697751506,0.126,20
0.612,0.333333333,1,0.5,0.015463918,0,0.973608863,0.911359734,0.108,16
0.184,0.215686275,0.989247312,0.367741935,0.027027027,0.02027027,1.062279928,1.083236282,0.416,24
0.686,0.714285714,0.958333333,0.515151515,0.031847134,0.044585987,0.776246324,0.635527437,0.086,16
0.82,0.181818182,1,0.380952381,0.033333333,0.055555556,0.796583316,0.595772905,0.064,10
0.526,0.466666667,0.911764706,0.459016393,0.025316456,0.008438819,1.127860828,0.915807272,0.138,17
0.834,0.6,1,0.526315789,0.072289157,0,1.223648393,0.699347848,0.044,12
0.776,0.181818182,1,0.65,0.035714286,0.080357143,0.491004762,0.493328219,0.078,17
0.846,1,1,0.5,0.038961039,0.038961039,0,0,0.044,8
0.676,0.230769231,1,0.461538462,0,0.030864198,0.777458473,0.669332113,0.138,22
0.62,0.7,0.96875,0.391304348,0.026315789,0.015789474,0.988972453,0.945154768,0.12,24
0.6,0.5,0.967741935,0.454545455,0.005,0.025,0.84539425,0.690856938,0.12,21
0.542,0.388888889,1,0.609756098,0.043668122,0.008733624,0.906770002,0.860751177,0.144,19
0.642,0.2,1,0.488372093,0.061452514,0.039106145,1.010698711,0.885915574,0.136,19
0.66,0.307692308,1,0.413043478,0.041176471,0.047058824,0.700540056,0.735176624,0.126,12
0.776,0.142857143,1,0.518518519,0.044642857,0.017857143,0.910271848,0.673267613,0.074,16
0.776,0.75,1,0.407407407,0.008928571,0.008928571,0.710306275,0.478061175,0.088,12
0.766,0.666666667,0.95,0.52,0.017094017,0.034188034,0.968224269,0.62253798,0.076,15
0.826,1,1,0.388888889,0.08045977,0.034482759,0.925167047,0.396470312,0.054,9
0.79,1,0.928571429,0.454545455,0,0.00952381,0.767770176,0.521752303,0.054,8
0.734,0.666666667,1,0.529411765,0.030075188,0.067669173,1.158872449,0.549369816,0.082,14
0.488,0.470588235,0.954545455,0.689655172,0.0078125,0.015625,1.099446901,0.991544805,0.154,23
