Word count limit ratio,Long sentences,Voice,Tense,Spell errors,Grammatical Errors,SS Essay,SS Topic Essay,Vocabulary,Score
0.326,0.625,1,0.617647059,0.038575668,0.005934718,0.987923332,0.918151069,0.226,8
0.162,0.55,0.974358974,0.505882353,0.052505967,0.011933174,1.391205146,1.027853338,0.272,9
0.442,0.5,1,0.735849057,0.003584229,0.028673835,1.15507243,1.176591532,0.198,7
0.048,0.555555556,0.936507937,0.43,0.062977099,0.020992366,1.124228585,1.150166016,0.396,10
0.07,0.4,0.983050847,0.482758621,0.03655914,0.010752688,1.231078766,1.073590025,0.272,8
0.508,0.466666667,1,0.510204082,0.06097561,0.020325203,0.904921316,0.783964391,0.17,8
0.002,0.633333333,0.961538462,0.5,0.014028056,0.004008016,1.189583192,1.135846619,0.318,10
0.036,0.230769231,0.959459459,0.567567568,0.014522822,0.01659751,1.241956345,1.063917023,0.286,10
0.116,0.285714286,0.979591837,0.511904762,0.022624434,0.011312217,1.063598874,0.933585706,0.31,9
0.004,0.5,0.984848485,0.575221239,0.03187251,0.017928287,1.319481357,1.045431646,0.294,9
0.352,0.409090909,0.891891892,0.569444444,0.024691358,0.00308642,0.94389556,0.951364349,0.3,8
0.216,0.44,1,0.714285714,0.089285714,0.033163265,1.450957332,1.018915318,0.216,8
0.592,1,0.96969697,0.558139535,0.117647059,0.009803922,0.724536972,0.677108873,0.158,7
0.386,0.28,1,0.518518519,0.114006515,0.035830619,1.152462729,0.937212364,0.178,6
0.648,0.384615385,1,0.566666667,0.039772727,0.022727273,1.25064173,0.936971722,0.132,6
0.056,0.371428571,0.966666667,0.5,0.045454545,0.013257576,1.116712051,1.189962648,0.396,12
0.33,0.611111111,1,0.507246377,0.029850746,0.011940299,1.310596169,0.975212238,0.168,8
0.268,0.8,0.976744186,0.5625,0.016393443,0.016393443,1.181453356,0.996784659,0.228,8
0.868,0,1,0.666666667,0.53030303,0,0.303046735,0.303278689,0.076,4
0.688,0.363636364,1,0.555555556,0.032051282,0.006410256,1.008706365,0.871198904,0.13,6
0.266,0.7,0.944444444,0.486842105,0.04359673,0.008174387,1.147855513,1.097645654,0.254,8
0.888,1,1,0.5,0.017857143,0,0.375091575,0.32752949,0.046,3
0.042,0.666666667,1,0.49,0.02303263,0.009596929,1.173145326,1.158816155,0.32,10
0.118,0.41025641,0.985294118,0.518518519,0.025044723,0.025044723,1.071769094,1.148755805,0.364,11
0.414,0.6875,1,0.467741935,0.013651877,0.003412969,1.352825867,1.097540587,0.172,8
0.28,0.409090909,0.981132075,0.556962025,0.022222222,0.019444444,1.070949629,1.008230776,0.23,9
0.76,0.428571429,1,0.565217391,0.066666667,0.016666667,0.898261724,0.545616199,0.078,4
0.28,0.285714286,0.975609756,0.519480519,0.033333333,0.022222222,1.063377956,0.891776166,0.256,9
0.258,0.391304348,0.97826087,0.662162162,0.037735849,0.002695418,1.496932273,1.106694668,0.212,9
0.486,0.533333333,0.973684211,0.585714286,0,0.003891051,1.33632105,1.007362803,0.158,8
0.056,0.470588235,0.967741935,0.614583333,0.021186441,0.027542373,0.899599794,0.853273918,0.354,10
0.016,0.416666667,1,0.619047619,0.010162602,0.012195122,1.199280963,1.100171059,0.316,10
0.666,0.333333333,0.95,0.586206897,0.035928144,0.011976048,0.934165352,0.840827254,0.13,6
0.276,0.346153846,0.977777778,0.493150685,0.033149171,0.024861878,1.117750316,0.922271231,0.242,8
0.174,0.212121212,0.983606557,0.545454545,0.007263923,0.004842615,1.383654779,1.176084026,0.226,9
0.084,0.708333333,0.983870968,0.712871287,0.011070111,0.014760148,1.261007062,1.051456226,0.352,10
0.024,0.516129032,0.96969697,0.537037037,0.047131148,0.016393443,1.253766654,1.131755662,0.352,12
0.296,0.823529412,0.955555556,0.5,0.03125,0.03125,1.117492191,0.913963498,0.226,8
0.11,0.409090909,1,0.576923077,0.031460674,0.020224719,0.869227485,0.96825833,0.302,10
0.62,0.266666667,1,0.58974359,0.042105263,0.026315789,0.860212063,0.95802082,0.144,7
0.918,0.666666667,1,0.625,0,0.024390244,0.762448727,0.474037487,0.032,2
0.436,0.714285714,1,0.622641509,0.046099291,0.028368794,1.325638679,1.010802777,0.17,8
0.72,0.75,1,0.620689655,0.014285714,0.014285714,0.951601411,0.770104452,0.104,6
0.374,0.25,1,0.508474576,0.022364217,0.025559105,1.843034698,1.119141592,0.148,8
0.356,0.4,1,0.568627451,0.027950311,0.00931677,1.088990708,0.885657698,0.194,8
0.404,0.636363636,0.895833333,0.621621622,0.013422819,0.016778523,1.451054872,0.902059892,0.132,8
0.372,0.611111111,0.964285714,0.519230769,0.063694268,0.022292994,0.963691653,0.968551757,0.22,8
0.088,0.515151515,1,0.525252525,0.007352941,0.012867647,1.193738033,1.071325462,0.302,11
0.37,0.222222222,0.975609756,0.545454545,0.00952381,0.019047619,1.119934374,1.144172416,0.174,6
0.834,0.5,1,0.583333333,0.072289157,0.048192771,0.650889183,0.628199884,0.076,5
0.142,0.923076923,0.974025974,0.515625,0.028021016,0.026269702,1.358953915,0.857657043,0.286,9
0.518,0.533333333,1,0.591836735,0.053941909,0.020746888,0.889682914,0.886021688,0.188,7
0.152,0.333333333,0.964285714,0.536842105,0.014150943,0.028301887,1.399077116,1.1516599,0.236,8
0.17,0.266666667,1,0.666666667,0.043373494,0.019277108,1.130988776,1.029632314,0.302,10
0.526,0.545454545,1,0.525,0.029535865,0.008438819,1.196452553,0.708239989,0.134,8
0.062,0.590909091,0.955555556,0.544444444,0.017057569,0.004264392,1.165048814,1.147329935,0.356,10
0.418,0.260869565,0.84375,0.548387097,0.034364261,0.010309278,1.191977449,0.968490298,0.222,9
0.606,0.357142857,1,0.619047619,0.020304569,0.050761421,1.078222401,0.980589735,0.14,7
0.116,0.636363636,1,0.584269663,0.029411765,0.011312217,1.260534384,1.196206809,0.268,8
0.864,0.166666667,1,0.769230769,0.029411765,0.014705882,1.019973795,0.757990295,0.062,4
0.398,0.304347826,1,0.528571429,0.013289037,0.003322259,1.277060603,1.064468871,0.182,8
0.434,0.642857143,1,0.44,0.053003534,0.03180212,1.526025934,1.101173072,0.162,8
0.42,0.588235294,0.976744186,0.568965517,0.013793103,0.013793103,1.223176377,0.941098847,0.144,8
0.566,0.833333333,1,0.581395349,0.050691244,0.01843318,0.828971033,0.585566607,0.124,7
0.172,0.541666667,0.978723404,0.550561798,0.026570048,0.012077295,1.270300321,1.095995372,0.246,9
0.258,0.4,1,0.469135802,0.032345013,0.016172507,1.123626871,1.046192597,0.258,9
0.414,0.35,1,0.571428571,0.034129693,0.013651877,1.128652349,0.978279235,0.182,8
0.22,0.151515152,0.956521739,0.568181818,0.030769231,0.01025641,1.068235577,1.054450809,0.282,9
0.518,0.444444444,1,0.566037736,0.01659751,0.033195021,1.021583494,0.873280285,0.168,7
0.156,0.392857143,0.976190476,0.535211268,0.014218009,0.028436019,1.288437781,1.010753688,0.308,12
0.114,0.666666667,0.98,0.465909091,0.027088036,0.031602709,1.520696187,1.262607408,0.252,10
0.054,0.68,0.857142857,0.558333333,0.026565465,0.011385199,1.35767694,1.157442056,0.362,10
0.228,0.571428571,0.933333333,0.563380282,0.023316062,0.051813472,1.21715511,0.88724825,0.268,8
0.406,0.172413793,1,0.628571429,0.01010101,0.02020202,1.143011098,1.061530555,0.176,7
0.304,0.523809524,0.740740741,0.385714286,0.017241379,0.00862069,1.21229107,1.102507648,0.26,8
0.404,0.368421053,0.925,0.5,0.036912752,0.036912752,1.201725368,1.002139492,0.182,8
0.044,0.085106383,1,0.479338843,0.03256705,0.019157088,1.492638803,1.212691897,0.322,10
0.16,0.212121212,0.975,0.493670886,0.019047619,0.102380952,1.229176933,1.113334311,0.234,10
0.238,0.5,1,0.347826087,0.010498688,0.031496063,1.508141359,1.295846234,0.184,10
0.184,0.666666667,0.921052632,0.609195402,0.071078431,0.026960784,1.270830273,1.078949357,0.294,8
0.274,0.875,1,0.623376623,0.044077135,0.022038567,1.15064137,0.965990006,0.196,8
0.438,0.173913043,1,0.641509434,0.046263345,0.024911032,1.224361657,1.038896365,0.186,8
0.584,0.888888889,1,0.551020408,0.052884615,0.038461538,1.16325536,0.823427127,0.14,7
0.596,0.363636364,1,0.552631579,0.034653465,0.02970297,0.972972006,0.821064307,0.09,6
0.086,0.612903226,1,0.655172414,0.025782689,0.009208103,1.452806257,1.201989421,0.262,10
0.162,0.392857143,0.897435897,0.623188406,0.033412888,0.021479714,1.217458667,1.269320431,0.3,8
0.172,0.153846154,0.947368421,0.597560976,0.031400966,0.028985507,0.966236941,0.894166064,0.306,10
0.118,0.842105263,0.977777778,0.577319588,0.024943311,0.034013605,1.287409182,1.0607446,0.232,9
0.536,0,1,0.645833333,0.038793103,0.004310345,1.372737585,0.966085079,0.106,6
0.542,0.666666667,1,0.644444444,0.017467249,0.004366812,1.252367097,0.966594074,0.142,7
0.536,0.466666667,1,0.619047619,0.051724138,0.034482759,1.077693385,0.764289936,0.148,8
0.302,0.215686275,0.988888889,0.518518519,0.021505376,0.02764977,1.139561158,1.201455351,0.39,11
0.074,0.772727273,0.891304348,0.465116279,0.026070764,0.020484171,1.086950785,1.147902917,0.432,11
0.374,0.2,1,0.542857143,0,0.006389776,1.030341035,0.905324204,0.2,8
0.076,0.305555556,1,0.463917526,0.023809524,0.017316017,0.845635158,0.901042284,0.308,10
0.54,0.4,1,0.634146341,0.047826087,0.004347826,1.032368477,0.841887369,0.188,7
0.412,0.285714286,0.939393939,0.557377049,0.051020408,0.006802721,1.049772884,0.960560669,0.24,8
0.178,0.205882353,0.853658537,0.455555556,0.055961071,0.00243309,1.147333026,1.063536586,0.32,11
0.306,0.55,0.952380952,0.455696203,0.048991354,0.034582133,1.127289445,0.862505057,0.268,8
0.532,0.411764706,1,0.588235294,0.055555556,0.034188034,1.016975127,0.761223627,0.154,7
0.068,0.25,0.982142857,0.626262626,0.019313305,0.017167382,1.218584813,1.076110981,0.322,10
0.34,0.307692308,0.975,0.561643836,0.012121212,0.006060606,1.39478603,1.210743118,0.178,8
0.216,0.666666667,0.977272727,0.469879518,0.007653061,0.007653061,1.193412169,0.992213985,0.232,9
0.198,0.476190476,1,0.520408163,0.027431421,0.007481297,1.367597025,1.287366373,0.218,10
0.074,0.558823529,0.933333333,0.469565217,0.011173184,0.031657356,1.201676431,0.996596126,0.296,9
0.278,0.166666667,0.93877551,0.556962025,0.019390582,0.016620499,1.217224717,1.025818021,0.3,11
